,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Explicit,External URLs
32,Badnam ( Orignal Version ),"Mankirt Aulakh, DJ Flow",Badnam (original Version),2XX8DrZ2YbrSBk3T4QMnMH,7m4Zte4sSwG73QwBsjC4P6,60,2017-09-21,False,https://open.spotify.com/track/7m4Zte4sSwG73QwBsjC4P6
33,Nashe Si Chadh Gayi,"Vishal-Shekhar, Arijit Singh, Caralisa Monteiro, Jaideep Sahni",Befikre,2NdNeBKi8ctKgKRH5UGRbO,0biCSADTAblvLTLtJz4pXO,73,2016-12-01,False,https://open.spotify.com/track/0biCSADTAblvLTLtJz4pXO
34,Coka,Sukh-E Muzical Doctorz,Coka,5Gs0qqgUdug7hgeFPcTOtC,4ZoPO0uIf19KKO7B0HEnmP,56,2019-06-01,False,https://open.spotify.com/track/4ZoPO0uIf19KKO7B0HEnmP
35,Bapu Zimidar,"Jassie Gill, Jatinder Shah",Replay,1rwXBMrRSIISRsa3nSRcxv,1fy1ajjwWHUFdxKQ3oVcMo,59,2016-06-17,False,https://open.spotify.com/track/1fy1ajjwWHUFdxKQ3oVcMo
36,Nikle Currant,"Jassie Gill, Neha Kakkar, Jaani",Nikle Currant,7dXErOdlQlzs0pYIYmPP2c,5T3rp70MEW4XnWv82BDVey,57,2018-10-12,False,https://open.spotify.com/track/5T3rp70MEW4XnWv82BDVey
37,"Made In India (From ""Made In India"")",Guru Randhawa,High Rated Gabru - Guru Randhawa,6EDbwGsQNQRLf73c7QwZ2f,1VWKE1mEA5V1Y61fzJI6rg,58,2019-03-02,False,https://open.spotify.com/track/1VWKE1mEA5V1Y61fzJI6rg
38,"Suit (From ""Suit"")","Guru Randhawa, Arjun",High Rated Gabru - Guru Randhawa,6EDbwGsQNQRLf73c7QwZ2f,7uxE6f0oRcbtUXuh6P1aRN,47,2019-03-02,False,https://open.spotify.com/track/7uxE6f0oRcbtUXuh6P1aRN
39,Bom Diggy Diggy,"Zack Knight, Jasmin Walia","Bom Diggy Diggy (From ""Sonu Ke Titu Ki Sweety"")",3tOA9zT2Kg5lPln6oQcLfZ,6qCNaRRr5xJALfNJvh0NAw,67,2018-02-08,False,https://open.spotify.com/track/6qCNaRRr5xJALfNJvh0NAw
40,Yeh Baby,Garry Sandhu,Yeh Baby,2tNLI0zZIICrQRlC4c3CVn,4bAimZUcP0JK806hdCuAjt,60,2018-04-03,False,https://open.spotify.com/track/4bAimZUcP0JK806hdCuAjt
41,No Competition,"Jass Manak, DIVINE",No Competition,68t62rh4vZdIErvhqQG4kq,1TRgZ55GFCKSbrTb62rmra,0,2020-09-13,False,https://open.spotify.com/track/1TRgZ55GFCKSbrTb62rmra
42,Bad Munda,"Jass Manak, Emiway Bantai",Bad Munda,4vfywUhHgqQMeNcxEHXoHp,7LLFTFn3tWAgUnpSgjfaz1,0,2021-08-20,False,https://open.spotify.com/track/7LLFTFn3tWAgUnpSgjfaz1
43,Prada,Jass Manak,Prada,0TlMeVxEhFeEGR7ziZsBvc,6wWxQMhQgOCbmQkdOGslT4,0,2019-02-20,False,https://open.spotify.com/track/6wWxQMhQgOCbmQkdOGslT4
44,Gur Nalo Ishq Mitha - The Yoyo Remake,"Yo Yo Honey Singh, Malkit Singh",Gur Nalo Ishq Mitha - The Yoyo Remake,0Z8c72ooN5u5MeQzoYAWsv,6YmRRCqSd6n4Qd3ziRfPSc,50,2019-07-24,False,https://open.spotify.com/track/6YmRRCqSd6n4Qd3ziRfPSc
45,Slowly Slowly,"Guru Randhawa, Pitbull, DJ BLACKOUT, Dj Money Willz",Slowly Slowly,5R78XJRvZJTaLdnEOUn9Rg,4pBxb7WuLsC3YyA9cj4T2l,54,2019-04-19,False,https://open.spotify.com/track/4pBxb7WuLsC3YyA9cj4T2l
46,One Bottle Down,Yo Yo Honey Singh,One Bottle Down,3qpZdl74dOM8I4OC2l4zO8,3hVc5y5mbcIEPADRGGGru9,63,2015-03-20,False,https://open.spotify.com/track/3hVc5y5mbcIEPADRGGGru9
47,Saiyaan Ji,"Yo Yo Honey Singh, Neha Kakkar, Nushrratt Bharuccha",Saiyaan Ji,00GpnM3JCsq6rtfBHptXZa,39QJ7KkN3L8LLqQqsO85W1,57,2021-01-27,False,https://open.spotify.com/track/39QJ7KkN3L8LLqQqsO85W1
48,"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")","Yo Yo Honey Singh, Simar Kaur, Ishers",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,3NKuSd9Qa5fzwhqiuKYFh4,53,2018-03-12,False,https://open.spotify.com/track/3NKuSd9Qa5fzwhqiuKYFh4
49,"Dheere Dheere (From ""Dheere Dheere"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,0Bvs8QqyAmtsjxU0od3Deg,42,2018-03-12,False,https://open.spotify.com/track/0Bvs8QqyAmtsjxU0od3Deg
50,"Blue Eyes (From ""Blue Eyes"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,7tIK0vD72tg9LAZonZqzCV,42,2018-03-12,False,https://open.spotify.com/track/7tIK0vD72tg9LAZonZqzCV
51,"Lungi Dance (From ""Lungi Dance"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,0ynMP0WETuh11JWaaVh7k8,38,2018-03-12,False,https://open.spotify.com/track/0ynMP0WETuh11JWaaVh7k8
52,"Boss (From ""Boss"")","Meet Bros Anjjan, Yo Yo Honey Singh",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,5DhaMxua1EJIUPaXj0RFa0,45,2018-03-12,False,https://open.spotify.com/track/5DhaMxua1EJIUPaXj0RFa0
53,"Desi Kalakaar (From ""Desi Kalakaar"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,0M0QOc0aj8E3x2fINeaDEw,40,2018-03-12,False,https://open.spotify.com/track/0M0QOc0aj8E3x2fINeaDEw
54,"Chaar Botal Vodka (From ""Ragini Mms 2"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,0QHEWicUbdyWuHsMcVd1Ka,66,2018-03-12,False,https://open.spotify.com/track/0QHEWicUbdyWuHsMcVd1Ka
55,"Gal Ban Gayi (From ""Gal Ban Gayi"") (feat. Sukhbir, Neha Kakkar, Yo Yo Honey Singh)","Meet Bros., Sukhbir, Neha Kakkar, Yo Yo Honey Singh",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,5zsz7azbdnyRixDqThVmLq,38,2018-03-12,False,https://open.spotify.com/track/5zsz7azbdnyRixDqThVmLq
56,"Fugly (From ""Fugly"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,47NWX9ywxmyw0WDiXhYf8R,36,2018-03-12,False,https://open.spotify.com/track/47NWX9ywxmyw0WDiXhYf8R
57,"Love Dose (From ""Desi Kalakaar"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,2PonaFfmtrK4B252AQaa2H,41,2018-03-12,False,https://open.spotify.com/track/2PonaFfmtrK4B252AQaa2H
58,"Party All Night (From ""Boss"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,1bHBYJjUYYbUnwKYCFxV1F,64,2018-03-12,False,https://open.spotify.com/track/1bHBYJjUYYbUnwKYCFxV1F
59,"Party With The Bhoothnath (From ""Bhoothnath Returns"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,14Hqp8peZ2zjxoUClRvEcv,47,2018-03-12,False,https://open.spotify.com/track/14Hqp8peZ2zjxoUClRvEcv
60,"Abcd -Yaariyan (From ""Yaariyan"")","Benny Dayal, Shefali Alvares, Yo Yo Honey Singh",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,3pIshEbdyNMF3hW1MnZB58,44,2018-03-12,False,https://open.spotify.com/track/3pIshEbdyNMF3hW1MnZB58
61,"One Bottle Down (From ""One Bottle Down"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,41w436UnIg4ySlfzgJLvVj,39,2018-03-12,False,https://open.spotify.com/track/41w436UnIg4ySlfzgJLvVj
62,"High Heels Te Nachche (From ""Ki &amp; Ka"") (feat. Jaz Dhami, Aditi Singh Sharma)","Meet Bros., Yo Yo Honey Singh, Jaz Dhami, Aditi Singh Sharma",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,0MAL4lkJiJgCwGdO0Q264f,51,2018-03-12,False,https://open.spotify.com/track/0MAL4lkJiJgCwGdO0Q264f
